articleId;title;pages;volumeNumber
1;Parallel Integer Sorting and Simulation Amongst CRCW Models.;607-619;33
1;Pattern Matching in Trees and Nets.;227-248;20
1;NP-complete Problems Simplified on Tree Schemas.;171-178;20
1;On the Power of Chain Rules in Context Free Grammars.;425-433;17
1;Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.;395-398;7
1;A characterization of rational D0L power series.;19-24;48
1;The Derivation of Systolic Implementations of Programs.;595-632;24
1;Fifo Nets Without Order Deadlock.;15-36;25
1;On the Complementation Rule for Multivalued Dependencies in Database Relations.;297-305;10
1;Equational weighted tree transformations.;29-52;49
1;Merged processes: a new condensed representation of Petri net behaviour.;307-330;43
1;Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.;199-228;50
1;A Three-Stage Construction for Multiconnection Networks.;197-206;20
1;The Expressive Power of Delay Operators in SCCS.;447-452;28
1;Calculi for Interaction.;707-737;33
1;A Synthesis of Several Sorting Algorithms.;1-30;11
1;A Workload Model Representative of Static and Dynamic Characteristics.;255-266;23
1;Gray visiting Motzkins.;793-811;38
1;Trace- and failure-based semantics for responsiveness.;499-552;51
1;Branching Processes in the Analysis of the Heights of Trees.;277-298;24
1;Least Upper Bound on the Cost of Optimum Binary Search Trees.;307-310;1
1;The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.;187-209;6
1;Invariants, Composition, and Substitution.;299-312;32
1;Maximum Entropy and the ;545-565;23
1;Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.;761-803;36
1;A theory of structural stationarity in the ;87-137;46
1;Hex ist PSPACE-vollständig.;167-191;15
1;Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.;913-926;36
1;Relational structures model of concurrency.;279-320;45
1;On an Equivalence between Continuation and Stack Semantics.;113-123;8
1;Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.;265-283;3
1;A Note on the Density of Inherently Ambiguous Context-free Languages.;295-298;14
