magazineId;volumeNumber;year
4;33;1996
5;20;1983
6;20;1983
7;17;1982
8;7;1977
9;48;2011
10;24;1987
11;25;1988
12;10;1978
13;49;2012
14;43;2006
15;50;2013
16;20;1983
17;28;1991
18;33;1996
19;11;1978
20;23;1986
21;38;2002
22;51;2014
23;24;1987
24;1;1972
25;6;1976
26;32;1995
27;23;1986
28;36;2000
29;46;2009
30;15;1981
31;36;2000
32;45;2008
33;8;1977
34;3;1974
35;14;1980
36;26;1989
37;26;1989
38;32;1995
39;52;2015
40;38;2002
41;10;1978
42;22;1985
43;51;2014
44;18;1982
45;16;1981
46;16;1981
47;8;1977
48;30;1993
49;15;1981
50;34;1997
51;9;1978
52;25;1988
53;24;1987
54;8;1977
55;45;2008
56;5;1975
57;2;1973
58;31;1994
59;31;1994
60;24;1987
61;32;1995
62;12;1979
63;45;2008
64;9;1977
65;26;1988
66;29;1992
67;31;1994
68;33;1996
69;10;1978
70;36;2000
71;34;1997
72;31;1994
73;49;2012
74;32;1995
75;46;2009
76;4;1974
77;19;1983
78;7;1976
79;17;1982
80;6;1976
81;13;1980
82;23;1986
83;50;2013
84;30;1993
85;3;1974
86;8;1977
87;19;1983
88;26;1988
89;13;1980
90;47;2010
91;43;2006
92;33;1996
93;44;2007
94;7;1976
95;4;1974
96;43;2007
97;28;1991
98;42;2005
99;25;1988
100;52;2015
101;46;2009
102;16;1981
103;14;1980
104;35;1998
105;37;2001
106;27;1990
107;30;1993
108;22;1986
109;35;1998
110;32;1995
111;46;2009
112;9;1978
113;6;1976
114;1;1971
115;42;2005
116;3;1974
117;10;1978
118;13;1980
119;34;1997
120;12;1979
121;4;1975
122;1;1972
123;36;2000
124;4;1974
125;42;2006
126;33;1996
127;11;1979
128;51;2014
129;16;1981
130;37;2001
131;29;1992
132;36;2000
133;26;1989
134;29;1992
135;39;2003
136;46;2009
137;32;1995
138;27;1990
139;49;2012
140;36;1999
141;4;1974
142;32;1995
143;4;1974
144;21;1984
145;21;1984
146;24;1987
147;1;1971
148;46;2009
149;1;1972
150;51;2014
151;13;1980
152;41;2005
153;24;1987
154;32;1995
155;43;2007
156;8;1977
157;38;2002
158;23;1986
159;48;2011
160;35;1998
161;14;1980
162;21;1984
163;32;1995
164;39;2003
165;24;1987
166;48;2011
167;18;1982
168;40;2004
169;7;1976
170;29;1992
171;21;1984
172;36;1999
173;34;1997
174;14;1980
175;27;1989
176;46;2009
177;16;1981
178;17;1982
179;30;1993
180;35;1998
181;25;1988
182;18;1982
183;16;1981
184;48;2011
185;42;2005
186;14;1980
187;13;1980
188;31;1994
189;8;1977
190;13;1980
191;12;1979
192;13;1980
193;32;1995
194;7;1977
195;33;1996
196;21;1984
197;26;1989
198;43;2006
199;41;2005
200;24;1987
201;42;2006
202;37;2001
203;31;1994
204;27;1990
205;2;1973
206;35;1998
207;39;2003
208;50;2013
209;26;1989
210;45;2008
211;26;1988
212;11;1979
213;23;1986
214;34;1997
215;18;1982
216;3;1974
217;28;1991
218;37;2001
219;15;1981
