_id	name
4	Acta Inf.
5	Displays
6	IJKDB
7	Computers in Industry
8	International Journal of Internet and Enterprise Management
9	Future Generation Comp. Syst.
10	Telematics and Informatics
11	Object Oriented Systems
12	IJEA
13	IJTM
14	IEEE Trans. Knowl. Data Eng.
15	Higher-Order and Symbolic Computation
16	Lisp and Symbolic Computation
17	Knowl.-Based Syst.
18	IJEBR
19	I. J. Artificial Intelligence in Education
20	Markup Languages
21	Journal of Intelligent and Fuzzy Systems
22	Foundations and Trends in Programming Languages
23	Computational Statistics & Data Analysis
24	Web Intelligence and Agent Systems
25	Web Intelligence
26	J. Formalized Reasoning
27	ERCIM News
28	J. Data Semantics
29	IJIEI
30	IJWMIP
31	Combinatorica
32	Int. J. Cooperative Inf. Syst.
33	Int. Arab J. Inf. Technol.
34	Applied Categorical Structures
35	IJICST
36	ICST Trans. Ambient Systems
37	EAI Endorsed Trans. Ambient Systems
38	Computer and Information Science
39	Smart CR
40	IEEE Access
41	JUSPN
42	IJAMC
43	EJIS
44	Automatica
45	J. Information Security
46	Bulletin of Symbolic Logic
47	JOCCH
48	IJANTTI
49	IJWP
50	IEEE T. Human-Machine Systems
51	IEEE Transactions on Information Forensics and Security
52	IJMSTR
53	Linguamﬂtica
54	Foundations and Trends in Signal Processing
55	Journal of Zhejiang University - Science C
56	Frontiers of IT & EE
57	Computer Graphics and Image Processing
58	"Computer Vision, Graphics, and Image Processing"
59	CVGIP: Graphical Model and Image Processing
60	Graphical Models
61	Graphical Models and Image Processing
62	T. HiPEAC
63	BMC Medical Imaging
64	IJHISI
65	TACO
66	IJTHI
67	Groups Complexity Cryptology
68	SIGART Newsletter
69	SIGART Bulletin
70	Intelligence
71	Robotersysteme
72	Int. Journal in Computer Simulation
73	Algorithmica
74	International Journal of Software Engineering and Knowledge Engineering
75	"Journal of Circuits, Systems, and Computers"
76	Formal Methods in System Design
77	T. Petri Nets and Other Models of Concurrency
78	Journal of Computer Security
79	J. Cryptology
80	J. Comput. Physics
81	Foundations and Trends in Databases
82	SIAM J. Scientific Computing
83	Math. Log. Q.
84	IEEE T. Haptics
85	Computers
86	IJHCITP
87	J. Sensor Technology
88	Personal and Ubiquitous Computing
89	SIGSPATIAL Special
90	J. Comput. Sci. Technol.
91	Intelligent Decision Technologies
92	Expert Systems
93	Synthese
94	IJEP
95	IEEE Security & Privacy
96	IJSIR
97	World Digital Libraries
98	JACIII
99	Axioms
100	FO & DM
101	Int. J. Pervasive Computing and Communications
102	Int. J. Game Theory
103	Peer-to-Peer Networking and Applications
104	IEEE Trans. Education
105	Meth. of Logic in CS
106	IEEE Trans. Neural Netw. Learning Syst.
107	IEEE Transactions on Neural Networks
108	IJPOP
109	Computer Science Education
110	Statistical Analysis and Data Mining
111	Neural Parallel & Scientific Comp.
112	"EURASIP J. Audio, Speech and Music Processing"
113	J. Electron. Commerce Res.
114	IJCOPI
115	Math. Program. Comput.
116	OR Insight
117	IEEE Transactions on Information Technology in Biomedicine
118	IEEE J. Biomedical and Health Informatics
119	Ing⁄nierie des Systﬁmes d'Information
120	JTHTL
121	Inf. Retr. Journal
122	Inf. Retr.
123	IEEE Trans. Biomed. Circuits and Systems
124	Appl. Algebra Eng. Commun. Comput.
125	Wireless Communications and Mobile Computing
